code,name,utf8
U+1F1FF,flag: South Africa,0xF0 0x9F 0x87 0xBF
U+1F1FE,flag: Yemen,0xF0 0x9F 0x87 0xBE
U+1F1FD,flag: Kosovo,0xF0 0x9F 0x87 0xBD
U+1F1FC,flag: Wallis & Futuna,0xF0 0x9F 0x87 0xBC
U+1F1FB,flag: Vatican City,0xF0 0x9F 0x87 0xBB
U+1F1FA,flag: Ukraine,0xF0 0x9F 0x87 0xBA
U+1F1F9,flag: Tristan da Cunha,0xF0 0x9F 0x87 0xB9
U+1F1F8,flag: Saudi Arabia,0xF0 0x9F 0x87 0xB8
U+1F1F7,flag: Réunion,0xF0 0x9F 0x87 0xB7
U+1F1F6,flag: Qatar,0xF0 0x9F 0x87 0xB6
U+1F1F5,flag: Panama,0xF0 0x9F 0x87 0xB5
U+1F1F4,flag: Oman,0xF0 0x9F 0x87 0xB4
U+1F1F3,flag: Namibia,0xF0 0x9F 0x87 0xB3
U+1F1F2,flag: Morocco,0xF0 0x9F 0x87 0xB2
U+1F1F1,flag: Laos,0xF0 0x9F 0x87 0xB1
U+1F1F0,flag: Kenya,0xF0 0x9F 0x87 0xB0
U+1F1EF,flag: Jersey,0xF0 0x9F 0x87 0xAF
U+1F1EE,flag: Canary Islands,0xF0 0x9F 0x87 0xAE
U+1F1ED,flag: Hong Kong SAR China,0xF0 0x9F 0x87 0xAD
U+1F1EC,flag: Gabon,0xF0 0x9F 0x87 0xAC
U+1F1EB,flag: Finland,0xF0 0x9F 0x87 0xAB
U+1F1EA,flag: Ceuta & Melilla,0xF0 0x9F 0x87 0xAA
U+1F1E9,flag: Germany,0xF0 0x9F 0x87 0xA9
U+1F1E8,flag: Canada,0xF0 0x9F 0x87 0xA8
U+1F1E7,flag: Bosnia & Herzegovina,0xF0 0x9F 0x87 0xA7
U+1F1E6,flag: Ascension Island,0xF0 0x9F 0x87 0xA6
U+1F3F3,white flag,0xF0 0x9F 0x8F 0xB3
U+1F3F4,black flag,0xF0 0x9F 0x8F 0xB4
U+1F38C,crossed flags,0xF0 0x9F 0x8E 0x8C
U+1F6A9,triangular flag,0xF0 0x9F 0x9A 0xA9
U+1F3C1,chequered flag,0xF0 0x9F 0x8F 0x81
U+1F532,black square button,0xF0 0x9F 0x94 0xB2
U+1F533,white square button,0xF0 0x9F 0x94 0xB3
U+1F518,radio button,0xF0 0x9F 0x94 0x98
U+1F4A0,diamond with a dot,0xF0 0x9F 0x92 0xA0
U+1F53B,red triangle pointed down,0xF0 0x9F 0x94 0xBB
U+1F53A,red triangle pointed up,0xF0 0x9F 0x94 0xBA
U+1F539,small blue diamond,0xF0 0x9F 0x94 0xB9
U+1F538,small orange diamond,0xF0 0x9F 0x94 0xB8
U+1F537,large blue diamond,0xF0 0x9F 0x94 0xB7
U+1F536,large orange diamond,0xF0 0x9F 0x94 0xB6
U+25AB,white small square,0xE2 0x96 0xAB
U+25AA,black small square,0xE2 0x96 0xAA
U+25FD,white medium-small square,0xE2 0x97 0xBD
U+25FE,black medium-small square,0xE2 0x97 0xBE
U+25FB,white medium square,0xE2 0x97 0xBB
U+25FC,black medium square,0xE2 0x97 0xBC
U+2B1C,white large square,0xE2 0xAC 0x9C
U+2B1B,black large square,0xE2 0xAC 0x9B
U+1F7EB,brown square,0xF0 0x9F 0x9F 0xAB
U+1F7EA,purple square,0xF0 0x9F 0x9F 0xAA
U+1F7E6,blue square,0xF0 0x9F 0x9F 0xA6
U+1F7E9,green square,0xF0 0x9F 0x9F 0xA9
U+1F7E8,yellow square,0xF0 0x9F 0x9F 0xA8
U+1F7E7,orange square,0xF0 0x9F 0x9F 0xA7
U+1F7E5,red square,0xF0 0x9F 0x9F 0xA5
U+26AA,white circle,0xE2 0x9A 0xAA
U+26AB,black circle,0xE2 0x9A 0xAB
U+1F7E4,brown circle,0xF0 0x9F 0x9F 0xA4
U+1F7E3,purple circle,0xF0 0x9F 0x9F 0xA3
U+1F535,blue circle,0xF0 0x9F 0x94 0xB5
U+1F7E2,green circle,0xF0 0x9F 0x9F 0xA2
U+1F7E1,yellow circle,0xF0 0x9F 0x9F 0xA1
U+1F7E0,orange circle,0xF0 0x9F 0x9F 0xA0
U+1F534,red circle,0xF0 0x9F 0x94 0xB4
U+1F235,Japanese “no vacancy” button,0xF0 0x9F 0x88 0xB5
U+1F23A,Japanese “open for business” button,0xF0 0x9F 0x88 0xBA
U+3299,Japanese “secret” button,0xE3 0x8A 0x99
U+3297,Japanese “congratulations” button,0xE3 0x8A 0x97
U+1F233,Japanese “vacancy” button,0xF0 0x9F 0x88 0xB3
code,name,utf8,code_str
U+1F1FF,flag: South Africa,0xF0 0x9F 0x87 0xBF,U+1F1FF U+1F1E6
U+1F1FE,flag: Yemen,0xF0 0x9F 0x87 0xBE,U+1F1FE U+1F1EA
U+1F1FD,flag: Kosovo,0xF0 0x9F 0x87 0xBD,U+1F1FD U+1F1F0
U+1F1FC,flag: Wallis & Futuna,0xF0 0x9F 0x87 0xBC,U+1F1FC U+1F1EB
U+1F1FB,flag: Vatican City,0xF0 0x9F 0x87 0xBB,U+1F1FB U+1F1E6
U+1F1FA,flag: Ukraine,0xF0 0x9F 0x87 0xBA,U+1F1FA U+1F1E6
U+1F1F9,flag: Tristan da Cunha,0xF0 0x9F 0x87 0xB9,U+1F1F9 U+1F1E6
U+1F1F8,flag: Saudi Arabia,0xF0 0x9F 0x87 0xB8,U+1F1F8 U+1F1E6
U+1F1F7,flag: Réunion,0xF0 0x9F 0x87 0xB7,U+1F1F7 U+1F1EA
U+1F1F6,flag: Qatar,0xF0 0x9F 0x87 0xB6,U+1F1F6 U+1F1E6
U+1F1F5,flag: Panama,0xF0 0x9F 0x87 0xB5,U+1F1F5 U+1F1E6
U+1F1F4,flag: Oman,0xF0 0x9F 0x87 0xB4,U+1F1F4 U+1F1F2
U+1F1F3,flag: Namibia,0xF0 0x9F 0x87 0xB3,U+1F1F3 U+1F1E6
U+1F1F2,flag: Morocco,0xF0 0x9F 0x87 0xB2,U+1F1F2 U+1F1E6
U+1F1F1,flag: Laos,0xF0 0x9F 0x87 0xB1,U+1F1F1 U+1F1E6
U+1F1F0,flag: Kenya,0xF0 0x9F 0x87 0xB0,U+1F1F0 U+1F1EA
U+1F1EF,flag: Jersey,0xF0 0x9F 0x87 0xAF,U+1F1EF U+1F1EA
U+1F1EE,flag: Canary Islands,0xF0 0x9F 0x87 0xAE,U+1F1EE U+1F1E8
U+1F1ED,flag: Hong Kong SAR China,0xF0 0x9F 0x87 0xAD,U+1F1ED U+1F1F0
U+1F1EC,flag: Gabon,0xF0 0x9F 0x87 0xAC,U+1F1EC U+1F1E6
U+1F1EB,flag: Finland,0xF0 0x9F 0x87 0xAB,U+1F1EB U+1F1EE
U+1F1EA,flag: Ceuta & Melilla,0xF0 0x9F 0x87 0xAA,U+1F1EA U+1F1E6
U+1F1E9,flag: Germany,0xF0 0x9F 0x87 0xA9,U+1F1E9 U+1F1EA
U+1F1E8,flag: Canada,0xF0 0x9F 0x87 0xA8,U+1F1E8 U+1F1E6
U+1F1E7,flag: Bosnia & Herzegovina,0xF0 0x9F 0x87 0xA7,U+1F1E7 U+1F1E6
U+1F1E6,flag: Ascension Island,0xF0 0x9F 0x87 0xA6,U+1F1E6 U+1F1E8
U+1F3F3,white flag,0xF0 0x9F 0x8F 0xB3,
U+1F3F4,black flag,0xF0 0x9F 0x8F 0xB4,
U+1F38C,crossed flags,0xF0 0x9F 0x8E 0x8C,
U+1F6A9,triangular flag,0xF0 0x9F 0x9A 0xA9,
U+1F3C1,chequered flag,0xF0 0x9F 0x8F 0x81,
U+1F532,black square button,0xF0 0x9F 0x94 0xB2,
U+1F533,white square button,0xF0 0x9F 0x94 0xB3,
U+1F518,radio button,0xF0 0x9F 0x94 0x98,
U+1F4A0,diamond with a dot,0xF0 0x9F 0x92 0xA0,
U+1F53B,red triangle pointed down,0xF0 0x9F 0x94 0xBB,
U+1F53A,red triangle pointed up,0xF0 0x9F 0x94 0xBA,
U+1F539,small blue diamond,0xF0 0x9F 0x94 0xB9,
U+1F538,small orange diamond,0xF0 0x9F 0x94 0xB8,
U+1F537,large blue diamond,0xF0 0x9F 0x94 0xB7,
U+1F536,large orange diamond,0xF0 0x9F 0x94 0xB6,
U+25AB,white small square,0xE2 0x96 0xAB,
U+25AA,black small square,0xE2 0x96 0xAA,
U+25FD,white medium-small square,0xE2 0x97 0xBD,
U+25FE,black medium-small square,0xE2 0x97 0xBE,
U+25FB,white medium square,0xE2 0x97 0xBB,
U+25FC,black medium square,0xE2 0x97 0xBC,
U+2B1C,white large square,0xE2 0xAC 0x9C,
U+2B1B,black large square,0xE2 0xAC 0x9B,
U+1F7EB,brown square,0xF0 0x9F 0x9F 0xAB,
U+1F7EA,purple square,0xF0 0x9F 0x9F 0xAA,
U+1F7E6,blue square,0xF0 0x9F 0x9F 0xA6,
U+1F7E9,green square,0xF0 0x9F 0x9F 0xA9,
U+1F7E8,yellow square,0xF0 0x9F 0x9F 0xA8,
U+1F7E7,orange square,0xF0 0x9F 0x9F 0xA7,
U+1F7E5,red square,0xF0 0x9F 0x9F 0xA5,
